title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
EGGY  ,Eggy,743,MSX,BOT3001a.bin,BOT3001.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=743
ELMKNIGHT,Elmknight,242,PC-9801,MIC0015a.bin,MIC0015.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=242
ELMKNIGHT,Elmknight,1509,PC-9801,MIC0045a.bin,MIC0045.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1509
EmmyII,Emmy II,147,MSX2,KSK1002a.bin,KSK1002.bmp,KSK1002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=147
FATAL FURY,Fatal Fury,1053,NEOGEO,SKP0012a.bin,SKP0012.bmp,SKP0012m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1053
Fatal Fury ,Fatal Fury,1051,NEOGEO,SKP3002a.bin,SKP3002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1051
FINAL ZONE II,Fatal Fury,1056,PC Engine,SNT0022a.bin,SNT0022.bmp,SNT0022m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1056
FRAY,Fray,232,MSX2,MIC1001a.bin,MIC1001.bmp,MIC1001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=232
FRAY,Fray,777,PC-9801,MIC0026a.bin,MIC0026.bmp,MIC0026m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=777
FRAY,Fray,1209,MSX2,MIC1010a.bin,MIC1010.bmp,MIC1010m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1209
FRAY CD 〜Xak外伝〜 ,Fray CD - Xak Gaiden,1048,PC Engine,MIC0036a.bin,MIC0036.bmp,MIC0036m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1048
FREE WAY,Free Way,1214,PC-8801,BOT0041a.bin,BOT0041.bmp,BOT0041m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1214
FZ戦記アクシス,FZ Senki Axis,331,X68000,TEL0027a.bin,TEL0027.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=331
FZ戦記アクシス,FZ Senki Axis,1129,Mega Drive,TEL0050a.bin,TEL0050.bmp,TEL0050m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1129
GAGAGAスプリント,GAGAGA Sprint,1181,PC-9801,COM0075a.bin,COM0075.bmp,COM0075m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1181
GAGAGAスプリント,GAGAGA Sprint,1316,PC-9801,COM0075a.bin,COM0075.bmp,COM0075m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1316
Gaudi 〜バルセロナの風〜,Gaudi - Barcelona no Kaze,260,MSX2,TEL1011a.bin,TEL1011.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=260
GE・TEN,Ge Ten,698,PC-9801,HOK0001a.bin,HOK0001.bmp,HOK0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=698
GE・TEN II  ,Ge Ten II,706,PC-9801,HOK0002a.bin,HOK0002.bmp,HOK0002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=706
GENESIS,Genesis,1155,PC-8801,SQE0004a.bin,SQE0004.bmp,SQE0004m.bin,SQE0004d.bin,https://www.amusement-center.com/project/egg/game/?product_id=1155
GENESIS,Genesis,1199,PC-9801,SQE0009a.bin,SQE0009.bmp,SQE0009m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1199
Genji,Genji,102,PC-8801,HOT0007a.bin,HOT0007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=102
GENOCIDE,Genocide,283,X68000,ZOM0001a.bin,ZOM0001.bmp,ZOM0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=283
GENOCIDE（体験版）,Genocide (Taikenban),282,X68000,ZOM0002a.bin,ZOM0002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=282
